чт,24.03.22,"0,11%"
пт,25.03.22,"0,11%"
сб,26.03.22,
вс,27.03.22,
пн,28.03.22,"0,08%"
вт,29.03.22,"0,25%"
ср,30.03.22,"0,08%"
чт,31.03.22,"0,00%"
пт,01.04.22,"0,28%"
сб,02.04.22,"0,00%"
вс,03.04.22,"0,00%"
пн,04.04.22,"0,12%"
вт,05.04.22,"0,13%"
ср,06.04.22,"0,11%"
чт,07.04.22,"0,11%"
пт,08.04.22,"0,13%"
сб,09.04.22,
вс,10.04.22,
пн,11.04.22,"0,09%"
вт,12.04.22,"0,11%"
ср,13.04.22,"0,13%"
чт,14.04.22,"0,08%"
пт,15.04.22,"0,08%"
сб,16.04.22,
вс,17.04.22,
пн,18.04.22,"0,14%"
вт,19.04.22,"0,10%"
ср,20.04.22,"0,13%"
чт,21.04.22,"0,08%"
пт,22.04.22,"0,07%"
сб,23.04.22,
вс,24.04.22,
пн,25.04.22,"0,11%"
вт,26.04.22,"0,11%"
ср,27.04.22,"0,08%"
чт,28.04.22,"0,25%"
пт,29.04.22,"0,08%"
сб,30.04.22,
вс,01.05.22,
пн,02.05.22,"0,21%"
вт,03.05.22,"0,06%"
ср,04.05.22,"0,09%"
чт,05.05.22,"0,08%"
пт,06.05.22,"0,10%"
сб,07.05.22,"0,00%"
вс,08.05.22,"0,00%"
пн,09.05.22,"0,11%"
вт,10.05.22,"0,07%"
ср,11.05.22,"0,07%"
чт,12.05.22,"0,09%"
пт,13.05.22,"0,07%"
сб,14.05.22,"0,00%"
вс,15.05.22,"0,00%"
пн,16.05.22,"0,11%"
вт,17.05.22,"0,13%"
ср,18.05.22,"0,13%"
чт,19.05.22,"0,14%"
пт,20.05.22,"0,07%"
сб,21.05.22,"0,00%"
вс,22.05.22,"0,00%"
пн,23.05.22,"0,13%"
вт,24.05.22,"0,09%"
ср,25.05.22,"0,12%"
чт,26.05.22,"0,13%"
пт,27.05.22,"0,08%"
сб,28.05.22,"0,00%"
вс,29.05.22,"0,00%"
пн,30.05.22,"0,15%"
вт,31.05.22,"0,11%"
ср,01.06.22,"0,06%"
чт,02.06.22,"0,07%"
пт,03.06.22,"0,00%"
сб,04.06.22,"0,00%"
вс,05.06.22,"0,00%"
пн,06.06.22,"0,11%"
вт,07.06.22,"0,10%"
ср,08.06.22,"0,08%"
чт,09.06.22,"0,16%"
пт,10.06.22,"0,14%"
сб,11.06.22,"0,00%"
вс,12.06.22,"0,00%"
пн,13.06.22,"0,26%"
вт,14.06.22,"0,12%"
ср,15.06.22,"0,29%"
чт,16.06.22,"0,41%"
пт,17.06.22,"0,14%"
сб,18.06.22,"0,00%"
вс,19.06.22,"0,00%"
пн,20.06.22,"0,07%"
вт,21.06.22,"0,10%"
ср,22.06.22,"0,11%"
чт,23.06.22,"0,13%"
пт,24.06.22,"0,04%"
сб,25.06.22,"0,00%"
вс,26.06.22,"0,00%"
пн,27.06.22,"0,11%"
вт,28.06.22,"0,08%"
ср,29.06.22,"0,10%"
чт,30.06.22,"0,11%"
пт,01.07.22,"0,24%"
сб,02.07.22,"0,00%"
вс,03.07.22,"0,00%"
пн,04.07.22,"0,07%"
вт,05.07.22,"0,13%"
ср,06.07.22,"0,13%"
чт,07.07.22,"0,11%"
пт,08.07.22,"0,10%"
сб,09.07.22,"0,00%"
вс,10.07.22,"0,00%"
пн,11.07.22,"0,11%"
вт,12.07.22,"0,11%"
ср,13.07.22,"0,06%"
чт,14.07.22,"0,20%"
пт,15.07.22,"0,06%"
сб,16.07.22,
вс,17.07.22,
пн,18.07.22,"0,15%"
вт,19.07.22,"0,10%"
ср,20.07.22,"0,14%"
чт,21.07.22,"0,07%"
пт,22.07.22,"0,21%"
сб,23.07.22,"0,00%"
вс,24.07.22,"0,00%"
пн,25.07.22,"0,06%"
вт,26.07.22,"0,10%"
ср,27.07.22,"0,09%"
чт,28.07.22,"0,15%"
пт,29.07.22,"0,08%"
сб,30.07.22,"0,00%"
вс,31.07.22,"0,00%"
пн,01.08.22,"0,16%"
вт,02.08.22,"0,29%"
ср,03.08.22,"0,13%"
чт,04.08.22,"0,17%"
пт,05.08.22,"0,08%"
сб,06.08.22,"0,00%"
вс,07.08.22,"0,00%"
пн,08.08.22,"0,10%"
вт,09.08.22,"0,18%"
ср,10.08.22,"0,12%"
чт,11.08.22,"0,06%"
пт,12.08.22,"0,06%"
сб,13.08.22,"0,00%"
вс,14.08.22,"0,00%"
пн,15.08.22,"0,06%"
вт,16.08.22,"0,03%"
ср,17.08.22,"0,10%"
чт,18.08.22,"0,05%"
пт,19.08.22,"0,15%"
сб,20.08.22,"0,00%"
вс,21.08.22,"0,00%"
пн,22.08.22,"0,10%"
вт,23.08.22,"0,12%"
ср,24.08.22,"0,14%"
чт,25.08.22,"0,12%"
пт,26.08.22,"0,07%"
сб,27.08.22,"0,00%"
вс,28.08.22,"0,00%"
пн,29.08.22,"0,05%"
вт,30.08.22,"0,21%"
ср,31.08.22,"0,13%"
чт,01.09.22,"0,06%"
пт,02.09.22,"0,16%"
сб,03.09.22,
вс,04.09.22,
пн,05.09.22,"0,07%"
вт,06.09.22,"0,06%"
ср,07.09.22,"-0,11%"
чт,08.09.22,"0,15%"
пт,09.09.22,"0,14%"
сб,10.09.22,
вс,11.09.22,
пн,12.09.22,"0,05%"
вт,13.09.22,"0,18%"
ср,14.09.22,"0,09%"
чт,15.09.22,"0,13%"
пт,16.09.22,"0,07%"
сб,17.09.22,
вс,18.09.22,
пн,19.09.22,"0,02%"
вт,20.09.22,"0,10%"
ср,21.09.22,"0,50%"
чт,22.09.22,"0,04%"
пт,23.09.22,"0,07%"
сб,24.09.22,
вс,25.09.22,
пн,26.09.22,"0,00%"
вт,27.09.22,"0,36%"
ср,28.09.22,"0,14%"
